96	RewriteCardinalTwoDigit_PrependPoint_Default_Default_Default_Default	rewriteApplyCardinalTwoDigit.fst,prependApplyPoint.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
97	RewriteCardinalTwoDigit_Default_AppendSlash_SpaceInsertBefore_Default_Default	rewriteApplyCardinalTwoDigit.fst,appendApplySlash.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
98	RewriteCardinalDigit_Default_Default_SpaceInsertBefore_MarkStartCurrencyRange_Default	rewriteApplyCardinalDigit.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst	CurrencyRange	
99	RewritePer_Default_Default_Default_Default_Default	rewriteApplyPer.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
100	RewriteMathNegative_Default_Default_Default_Default_Default	rewriteApplyMathNegative.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
101	RewriteRemoveSpaceAndLowercase_Default_Default_SpaceInsertBefore_Default_Default	rewriteApplyRemoveSpaceAndLowercase.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
102	Default_Default_Default_SpaceInsertBefore_Default_MarkEndTripleL	spaceApplyDefault.fst,rewriteApplyDefault.fst		TripleL
103	RewriteCardinalMagnitude2s_Default_AppendComma_Default_Default_Default	rewriteApplyCardinalMagnitude2s.fst,appendApplyComma.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
104	RewriteLowercase_Default_AppendHttps_SpaceInsertBefore_Default_Default	rewriteApplyLowercase.fst,appendApplyHttps.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
105	RewriteCardinalDigit_Default_AppendColon_Default_Default_Default	rewriteApplyCardinalDigit.fst,appendApplyColon.fst,spaceApplyRemoveBefore.fst,rewriteApplyDefault.fst		
106	RewriteSpellCorrection_Default_Default_SpaceInsertBefore_Default_Default	rewriteApplySpellCorrection.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
107	RewriteEtcCap_Default_Default_SpaceInsertBefore_Default_Default	rewriteApplyEtcCap.fst,spaceApplyDefault.fst,rewriteApplyDefault.fst		
